id;Tbf;Taf;raw.decrease;norm.decrease;normEBS.decrease;het.decrease;plateau_slope;maxfluo;well_pcr;sample;calib;pop;generation;ratio;plate_qpcr_id;competition;experiment_batch;setup;predicted_freq
plate1#A10;80.31;85.47;0;0;0;0;0.00497598317608221;7.23642482306136;A10;3;NA;3;0;NA;plate1;V5;VFP;3;0.101584919828839
plate1#A19;80.31;85.5;0;0;NA;0;0;8.12078025227498;A19;5-25%;calib;5-25%;NA;25%;plate1;V5;NA;NA;NA
plate1#A20;78.88;85.77;0.0984465766455854;0.00628298330954982;0.0496648803143398;0;0.000889615026528966;7.24409092990842;A20;G3-Z04;NA;Z04;3;NA;plate1;V5;VFP;4;0.393372571882995
plate1#A21;80.34;85.47;0;0;0;0;0.00427165507229534;7.45066817461866;A21;G1-N05;NA;N05;1;NA;plate1;V5;RA;5&6;0.101584919828839
plate1#A5;77.38;85.47;0.0954762767897495;0.0188967999828613;0.0604157264742407;0;0;7.62239564126801;A5;G3-Z04;NA;Z04;3;NA;plate1;V5;VFP;4;0.43959766276626
plate1#B10;77.72;85.41;0.134851380884644;0.0330212573718777;0.0834382048085695;0;0;6.9871588220374;B10;G3-Z01;NA;Z01;3;NA;plate1;V5;DW;1;0.508483507582679
plate1#B12;77.38;85.41;0.138576118162208;0.0247795928643593;0.0848058190308359;0;0.00404415558653854;7.47384115083428;B12;G1-N02;NA;N02;1;NA;plate1;V5;DW;2;0.511727890185308
plate1#B16;77.07;85.47;0.161289532415598;0.0221452063557083;0.0902294464467022;0;0.00259133771586664;6.77636033022422;B16;G1-N05;NA;N05;1;NA;plate1;V5;RA;5&6;0.524366570626014
plate1#B18;78.12;85.47;0.123876674337132;0.00797767420212973;0.0575908608955864;0;0.00154294438822838;7.94030509327243;B18;G1-Z05;NA;Z05;1;NA;plate1;V5;RA;5&6;0.428341976842387
plate1#B19;80.42;85.77;0;0;0;0;0.000726135204106831;8.37500011686994;B19;G1-N05;NA;N05;1;NA;plate1;V5;RA;5&6;0.101584919828839
plate1#B2;78.88;85.47;0.0830159732142474;0.00867385794184884;0.0296242427394265;0;0;8.23046812669365;B2;G1-N01;NA;N01;1;NA;plate1;V5;DW;1;0.286768357080864
plate1#B21;78.53;85.8;0.12841503430549;0.0350416253952021;NA;0;0;8.72369324694249;B21;G1-Z02;NA;Z02;1;NA;plate1;V5;DW;2;NA
plate1#B22;77.64;85.5;0.177705565199231;0.0626965888854355;0.122226776234853;0;0;8.16288344085078;B22;G3-Z06;NA;Z06;3;NA;plate1;V5;RA;5&6;0.600365223317799
plate1#B5;77.72;85.41;0.11886915630908;0.0123851330149537;0.0642782903616561;NA;0.00329834789010511;8.21134596225193;B5;G1-N01;NA;N01;1;NA;plate1;V5;DW;1;0.45387131533386
plate1#C11;77.57;85.33;0.134696996426402;0.0422807223725336;0.0884812647329008;0;0.000761902087146886;7.53861733424516;C11;G1-Z06;NA;Z06;1;NA;plate1;V5;RA;5&6;0.520311648650666
plate1#C21;77.14;84.36;1;1;1;0;0.00873072307365027;8.4924640323972;C21;5-100%;calib;5-100%;NA;100%;plate1;V5;NA;NA;1.0000005915119
plate1#C24;79.05;85.77;0;0;0;0;0.00457508861933276;7.14182973248532;C24;4;NA;4;0;NA;plate1;V5;VFP;4;0.101584919828839
plate1#D1;78.82;85.72;0;0;0;0;0.00171477500806289;8.74015299637711;D1;G1-N03;NA;N03;1;NA;plate1;V5;VFP;3;0.101584919828839
plate1#D10;77.64;85.33;0.146164403543274;0.0197277688901563;NA;0;0;6.9972685419396;D10;G1-Z06;NA;Z06;1;NA;plate1;V5;RA;5&6;NA
plate1#D12;80.22;85.47;0;0;0;0;0;6.90119939578712;D12;3;NA;3;0;NA;plate1;V5;VFP;3;0.101584919828839
