id;Tbf;Taf;raw.decrease;norm.decrease;normEBS.decrease;het.decrease;plateau_slope;maxfluo;well_pcr;sample;calib;pop;generation;ratio;plate_qpcr_id;competition;experiment_batch;setup;predicted_freq
plate1#A13;78.53;85.19;0;0;0;0;0.00519498462412008;7.69780710309616;A13;G3-N01;NA;N01;3;NA;plate1;V5;DW;1;0.0718182043956906
plate1#A14;77.2;84.07;1;1;1;0;0.00983930809016629;7.11751800049403;A14;5-100%;calib;5-100%;NA;100%;plate1;V5;NA;NA;1.00001160884487
plate1#A5;78.9;85.57;0;0;0;0;0;6.78747048979126;A5;G6-N05;NA;N05;6;NA;plate1;V5;RA;5&6;0.0718182043956906
plate1#B17;78.62;85.54;0.0915363685138638;0.00790467893139588;0.0365527242921673;0;0.00118548407169998;6.82952066434802;B17;5-25%;calib;5-25%;NA;25%;plate1;V5;NA;NA;0.274491943596435
plate1#B19;78.38;85.51;0.123078345319196;0.0155836062381575;0.0594346977728925;0;0;6.52225295148089;B19;G6-Z02;NA;Z02;6;NA;plate1;V5;DW;2;0.381141610934176
plate1#B20;77.2;85.51;0.179502042849887;0.0359776278147269;0.108092266579838;0;0;6.89418796093888;B20;5-50%;calib;5-50%;NA;50%;plate1;V5;NA;NA;0.530561312162773
plate1#B24;80.46;85.69;0;0;0;0;0.00481329945613995;6.09696401463052;B24;G6-N03;NA;N03;6;NA;plate1;V5;VFP;3;0.0718182043956906
plate1#C11;80.06;85.22;0;0;0;0;0;6.94522370985372;C11;3;NA;3;0;NA;plate1;V5;VFP;3;0.0718182043956906
plate1#C18;80.18;85.51;0;0;0;0;0;6.97541463798357;C18;G3-N01;NA;N01;3;NA;plate1;V5;DW;1;0.0718182043956906
plate1#C21;79.02;85.66;0;0;0;0;0;6.94193619170641;C21;2;NA;2;0;NA;plate1;V5;DW;2;0.0718182043956906
plate1#C23;78.88;85.66;0;0;0;0;0.0072689409342425;6.7826483422761;C23;5-0%;calib;5-0%;NA;0%;plate1;V5;NA;NA;0.0718182043956906
plate1#C3;80.12;85.45;0;0;0;0;0;7.67371062026476;C3;G1-N04;NA;N04;1;NA;plate1;V5;VFP;4;0.0718182043956906
plate1#D1;77.64;85.51;0.089060073321395;0.0107743753442561;0.0347989708695249;0;0;8.01493378697093;D1;G1-N06;NA;N06;1;NA;plate1;V5;RA;5&6;0.265390049348427
plate1#D12;77.01;85.19;0.185461725598108;0.0462291211470342;0.10502043508458;0;0;6.20387125830472;D12;5-50%;calib;5-50%;NA;50%;plate1;V5;NA;NA;0.522937174164864
plate1#D15;78.47;85.22;0;0;0;0;0;5.79730362597075;D15;G6-N01;NA;N01;6;NA;plate1;V5;DW;1;0.0718182043956906
plate1#D20;76.89;84.4;1;1;NA;0;0;7.00076915150444;D20;5-100%;calib;5-100%;NA;100%;plate1;V5;NA;NA;NA
plate1#D22;76.77;84.07;1;1;1;0;0.00594159517846748;7.0158654463421;D22;5-100%;calib;5-100%;NA;100%;plate1;V5;NA;NA;1.00001160884487
